name,lastrevid
Syrja Vlora,1109383587
Visarion Xhuvani,1115321286
Visar Ymeri,1036757024
Abdyl Ypi,1075914314
Xhezair Zaganjori,1106753028
Menduh Zavalani,1071577719
Said Abadou,1112193748
Tahar Allan,1059626268
Mohamed Seghir Babes,1079379844
Djelloul Baghli,1053461392
Noureddine Bahbouh,1099284595
Lamine Bechichi,1111537825
Bakhti Belaïb,1107713309
Mohamed Belouizdad,1102331624
Mourad Benachenou,1091746754
Benaouda Hadj Hacène Bachterzi,1064464792
Souad Bendjaballah,1064463751
Mohammed Saleh Bendjelloul,1064459314
Mohamed Bensalam,1053464158
Said Boualam,1104123484
Abdeslam Bouchouareb,1053459025
Brahim Chibout,1053460621
Bouras Djamel,1072064909
Ahmed Djebbar,1112131049
Fatiha Serour,1019766063
Mohamed Hassaïne,1098798192
Ibrahim Boughali,1110540602
Abdenour Keramane,1028900906
Abelkader Khamri,1088927932
Mahmoud Khedri,1102198843
Mohamed Laïchoubi,1053469601
Sassi Lamouri,1053478920
Mohamed Maghlaoui,1053469610
Amar Makhloufi,1053459748
Hacen Mefti,1053461924
Mokhtar Meherzi,1028900891
Mohamed Elias Mesli,1009461580
Azzedine Mihoubi,1031600815
Cherif Rahmani,1053461144
Naima Salhi,1113203380
Guillem d'Areny-Plandolit,1100710928
Guillem Areny,1101200095
Joan Armengol,1105550472
Francesc Badia Batalla,1102180575
Josep Maria Beal,1104772844
Climent Palmitjavila,1102731108
Antoni Puigdellívol,1100253414
Òscar Ribas Reig,1105529195
Boris Skossyreff,1114575861
Enric Tarrado Vives,986671433
Alexandre Sebastião André,979043156
Isaac Maria dos Anjos,1087791055
Paulino Baptista,1098277989
João Baptista Borges,1108136082
Branca Manuel Espirito Santo,1082903108
André Luís Brandão,1092527809
André Gaspar Mendes de Carvalho,871672690
Carolina Cerqueira,1081277226
Arlete Chimbinda,1101656146
Kafundanga Chingunji,1111470901
Jeremias Chitunda,1076646666
Abel Chivukuvuku,987997249
Adalberto Costa Júnior,1107102259
Adjany Costa,1081302172
Álvaro Arnaldo Craveiro,1112653739
Raul Danda,1099408586
Carlos António Fernandes,1003396569
